point_id,t_skin,n_str,h_str,t_str
68,1.01754,4,37.36688,1.26841
69,1.98595,4,25.95934,1.88408
70,2.42982,3,13.90198,1.68707
71,1.11135,2,22.23696,2.83477
72,2.96108,3,33.20206,1.66527
73,2.50964,4,19.34647,2.90422
74,1.53069,3,35.67004,2.40971
75,1.82252,3,10.54911,1.23295
76,2.65721,5,26.98034,1.7789
77,2.70831,5,33.97468,2.10978
78,2.5818,2,38.45179,2.47075
79,1.14228,5,12.21061,2.95929
80,2.89033,3,38.56404,2.73504
81,2.02912,4,25.84047,2.77382
82,2.29396,4,38.13208,2.75453
83,1.70784,4,27.65841,1.57281
84,2.27335,3,16.90091,2.04806
85,2.79827,6,38.98133,1.4022
86,1.46921,3,24.93017,2.31166
87,2.85573,5,15.68651,1.36977
88,2.5342,2,20.83803,1.19115
89,1.3452,4,37.57567,1.1062
90,1.49321,5,31.81434,2.45594
91,2.8254,5,14.51994,2.50252
92,1.68791,5,38.03111,2.39171
93,1.18034,3,31.61354,2.21616
94,1.51945,4,29.09478,1.98302
95,2.45724,6,34.78342,1.20089
96,2.19628,6,19.82241,1.56285
97,1.16257,3,18.86906,2.24371
98,1.43752,4,23.18761,2.68425
99,1.71917,6,30.34956,1.34527
100,1.97592,5,28.64162,1.3403
101,2.07921,3,24.13308,2.37576
102,1.48547,3,12.51049,2.63172
103,2.05494,3,12.83764,1.51463
104,2.02076,5,20.12654,2.16377
105,1.39969,3,15.52007,1.50441
106,1.14438,3,36.26044,2.14813
107,1.94514,4,37.11391,2.86896
108,1.12578,4,25.53494,2.04198
109,2.87211,3,23.75456,2.99466
110,1.06455,6,25.38742,2.65833
111,1.91616,2,36.49826,2.01012
112,2.65527,5,35.49042,1.53421
113,1.96069,3,13.08028,2.01958
114,1.38447,6,30.52656,2.19364
115,2.86762,5,17.33127,2.31895
116,2.06007,5,32.8694,1.96158
117,2.62346,4,39.75674,1.29501
118,2.1451,3,32.67057,2.55162
119,2.32291,6,22.54386,2.42495
120,1.27155,4,11.4448,2.12785
121,2.25987,5,39.94993,2.65385
122,1.83258,5,36.90824,1.42676
123,2.64149,5,34.62092,1.64275
124,2.74581,3,15.83234,1.86691
125,1.67895,3,27.44218,1.76481
126,2.1674,3,26.3418,2.58829
127,1.86753,2,19.46616,1.02837
128,2.09943,5,20.63282,1.38037
129,2.90948,5,26.13926,1.084
130,2.47325,6,10.04206,2.76833
131,1.28922,6,32.04693,2.71983
132,2.21233,5,23.67774,1.85558
133,1.50914,6,17.15701,2.87822
134,2.71711,4,39.55669,2.61829
135,2.35276,4,33.75677,1.25517
136,2.49411,2,12.12435,1.70743
137,1.81262,5,32.10419,2.53074
138,2.81061,5,26.80246,1.47785
139,1.21467,6,27.91091,1.67888
140,1.08604,5,13.80389,1.55017
141,1.26837,3,34.03016,1.45642
142,1.56869,6,18.53213,1.92563
143,1.8773,4,11.92183,1.49821
144,1.93184,3,28.7998,2.43907
145,1.59031,3,28.91995,1.30499
146,1.90745,4,36.72775,2.98253
147,2.75846,6,26.56781,2.06819
148,1.85056,2,34.86601,2.08218
149,1.34218,3,23.3566,1.64528
150,2.51672,2,35.15635,2.89683
151,1.25367,4,35.74144,1.89436
152,2.69558,6,24.76106,1.90675
153,1.04696,5,30.61615,2.79709
154,1.6466,3,19.05959,1.2178
155,2.30236,5,28.11477,1.39175
156,2.10902,2,22.87037,2.37102
157,2.77153,3,28.39469,1.62192
158,1.18825,5,16.52183,2.26592
159,1.88683,3,11.18938,1.12239
160,2.17815,4,14.80107,2.57116
161,1.79176,4,21.94967,2.68657
162,1.01415,6,31.18565,2.52466
163,2.22332,2,13.44731,1.14612
164,2.6818,2,19.97607,1.04191
165,2.12146,2,37.76864,1.09221
166,1.45467,6,38.73441,1.06195
167,2.23686,4,18.7128,2.13195
168,2.93444,3,14.12437,1.9371
169,2.94811,4,13.31585,1.71741
170,1.75516,2,18.13213,1.83622
171,2.84065,4,34.35207,1.99377
172,1.76941,5,30.81583,2.80556
173,2.37098,5,29.76042,2.29147
174,2.38058,4,14.93236,2.57903
175,1.67058,4,33.43228,2.20492
176,1.0814,4,17.79409,1.74426
177,1.73851,5,10.40896,1.01363
178,2.01143,3,33.09095,2.84544
179,2.99728,3,21.16771,2.33127
180,1.63797,4,21.09263,2.22927
181,2.38616,2,21.78308,2.91566
182,1.4141,4,20.31523,2.92985
183,2.97346,3,15.14997,1.27558
184,1.42452,5,10.81893,1.44196
185,2.5878,4,14.31136,2.60016
186,1.36197,2,39.3071,1.61215
187,2.60595,5,29.94305,2.4944
188,2.41342,3,27.18344,2.47664
189,1.62585,5,10.95167,1.13417
190,1.60113,3,31.24766,1.58603
191,2.56747,5,36.05209,2.82759
192,1.30708,3,11.68067,2.28265
193,2.73505,2,25.16158,1.46496
194,1.57475,4,17.67955,1.95608
195,2.44499,3,16.80869,1.16569
196,1.0368,6,16.35159,1.7969
197,2.32964,5,16.10733,2.34636
198,2.25062,4,22.17522,2.18128
199,2.55037,4,29.56679,1.81312
200,1.5393551801144314,6,29.656951861141557,1.0000000005613394
